track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key_x,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,streams_per_day,artist_dominance,mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist,instance_id,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key_y,liveness,loudness,mode_y,speechiness,tempo,obtained_date,valence,music_genre
Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,2,11290580.5,2,e5712ceb-c37a-4c49-a11c-ccf4e21852d4,Troye Sivan,Troye Sivan,Australia,,synthpop; pop; electropop; dream-pop,pop; indie pop; male vocalists; indie; electronica,449204.0,19996622.0,False,,,,,,,,,,,,,,,,,
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,17,3076133.294117647,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,225,3750922.2666666666,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,267,3744375.569288389,34,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262.0,171760219.0,False,,,,,,,,,,,,,,,,,
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,142,4359087.274647887,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,44,2798236.659090909,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,99,1908419.212121212,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,3482,389419.6079839173,34,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262.0,171760219.0,False,,,,,,,,,,,,,,,,,
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,3482,225784.5594485928,34,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262.0,171760219.0,False,,,,,,,,,,,,,,,,,
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,57,3097429.403508772,2,e665ce26-6ce9-4c42-8f6a-7a361a0ba328,Fuerza Regida,Fuerza Regida,,,,,556.0,7816.0,False,,,,,,,,,,,,,,,,,
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,155,2287067.148387097,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,1740,1613848.5919540229,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,323,3434777.613003096,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,2185,479222.55881006864,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
