,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,Major,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,artist_dominance,months_since_release,streams_per_month
210,1,2013,1,1,33783,26,1788326445.0,85,1,55,42,53,17,0,22,3,3846,4,126.34691195795006,14154096.98018721
211,1,2012,1,1,26694,13,1840364617.0,180,1,33,38,71,20,0,28,5,4212,3,138.37056504599212,13300260.90728395
212,1,2023,4,12,356,16,143573775.0,166,1,57,84,94,11,0,37,9,93,1,3.055190538764783,46993394.74193549
213,1,2016,11,25,6518,17,684675814.0,160,1,71,40,50,16,0,16,22,2422,22,79.56636005256242,8605091.568191577
214,1,2014,1,1,21335,13,1113838873.0,160,1,65,95,80,5,0,41,16,3481,34,114.35611038107751,9740090.575731112
215,1,2013,1,1,23389,29,1267333350.0,92,1,70,81,63,4,0,8,4,3846,4,126.34691195795006,10030584.288611546
216,1,2022,3,19,3202,18,726307468.0,170,1,56,53,64,11,0,45,6,482,2,15.83442838370565,45868878.26954357
217,1,2017,1,6,32181,10,3562543890.0,96,0,83,93,65,58,0,9,8,2380,9,78.18659658344284,45564636.979663864
218,1,2017,1,6,32181,10,3562543890.0,96,0,83,93,65,58,0,9,8,2380,9,78.18659658344284,45564636.979663864
219,1,2014,11,17,7124,18,1131090940.0,120,1,67,40,52,86,0,12,4,3161,1,103.84362680683311,10892251.88661816
220,2,2023,1,13,592,14,307370144.0,98,1,70,37,54,6,0,9,8,182,1,5.978975032851511,51408501.00747253
221,1,1992,9,21,36724,7,1271293243.0,92,1,53,12,34,1,0,12,4,11253,1,369.6780551905388,3438919.960625611
222,1,2019,10,18,794,10,265882712.0,150,1,34,24,56,4,0,11,3,1365,2,44.842312746386334,5929281.870534798
223,1,2019,10,18,794,10,265882712.0,150,1,34,24,56,4,0,11,3,1365,2,44.842312746386334,5929281.870534798
224,1,2017,3,21,13091,17,841749534.0,94,1,37,17,47,2,46,11,3,2306,1,75.75558475689881,11111385.8694536
225,1,2023,5,19,67,8,47956378.0,90,0,74,36,63,26,0,27,5,56,1,1.8396846254927728,26067716.89857143
